nif,distrito,localidade,entidade,estabelecimento,morada,codigo_postal,tipificacao,telefone,email,lat,lon,urgencia,ambulatorio,rx,imagiologia,fisioterapia,cirurgia,internamento
512090610,Açores,Ponta Delgada,"Açorclínica - Reabilitação Física, Lda",Ponta Delgada - Açorclinica,"Rua S. Bento Menni, 5 r/c",9500-786,Fisioterapia,None,azorclinica@sapo.pt,37.74756,-25.68487,0,1,0,0,1,0,0
512027030,Açores,Ponta Delgada,"Assistência Médica Gouveia, Lda",Ponta Delgada - Assistência Médica Gouveia,Av. Príncipe do Mónaco,9500-237,Especialidade,None,jmsgouveia@sapo.pt,,,0,1,0,0,0,0,0
512035172,Açores,Ponta Delgada,CAL - Clínica Aparelho Locomotor,Ponta Delgada - CAL,"Av. Inf. D. Henrique, 71, 2 piso, 215",9500-764,Ambulatório,None,calclinica@mail.telepac.pt,37.742275,-25.65278,0,1,0,1,1,0,0
509532578,Açores,Ponta Delgada,Centro Clínico Vitae (MCJ CLINICA - SERVIÇOS DE MEDICI,Ponta Delgada - Centro Clínico Vitae,"Rua Hugo Moreira, 44",9500-792,Especialidade,None,geral@centroclinicovitae.com,37.749313,-25.658634,0,1,0,0,0,0,0
512019061,Açores,Ponta Delgada,Clínica do Bom Jesus,Ponta Delgada - Clínica Bom Jesus,Avenida Principe do Monaco,9500-237,Cirúrgico,None,cbj@clinicabomjesus.org,,,0,1,1,1,1,1,1
512092362,Açores,Ponta Delgada,"Clínica Médica do Loreto, SA",Ponta Delgada - Clínica Médica do Loreto,"Rua da Arquinha, 95",9500-032,Ambulatório,None,geral.css@grupomarques.org,,,0,1,1,1,1,0,0
512093776,Açores,Ponta Delgada,OCEANUS CLINICA MEDICA DENTARIA LDA,Ponta Delgada - Clínica Oceanus (Med. Dentária),PRAÇA PROFESSOR DR JOSE DE ALMEIDA PAVÃO JUNIOR 4 R C,9500-301,Medicina dentária 296630600,None,geral@clinicaoceanus.pt,37.746739,-25.657682,0,1,0,0,0,0,0
514362472,Açores,Lagoa,Hia - Hospital Internacional dos Açores,Ponta Delgada - CUF,"Alameda do Conhecimento, Nº 3 Lagoa",9560-421,Cirúrgico,None,nan,37.750158,-25.582791,1,1,1,1,1,1,1
512051917,Açores,Praia da Vitória,"Clinica Médica da Praia da Vitória, Lda.",Praia da Vitória - Clinica Médica da Praia da Vitória,"Rua do Hospital, 12",9760-475,Imagiologia,None,clipraia@gmail.com,,,0,1,1,1,1,0,0
166622893,Açores,Praia da Vitória,Praia da Victoria -Fernando Artur Conde Vieira Pimentel,Praia da Vitória - Fernando Pimentel,Largo do Conde da Praia,9760-438,Ambulatório,None,csdn@lardpedrov.com,38.73027,-27.065275,0,1,0,0,0,0,0
512041580,Açores,Praia da Vitória,"Fisiopraia - Centro de Fisioterapia, Lda",Praia da Vitória - Fisiopraia,Rua Cidade de Abrantes n.º 1,9760-262,Fisioterapia,None,lajes@fisiopraia.pt,,,0,0,0,0,1,0,0
512052859,Açores,Ribeira Grande,"Centro de Reabilitação R. Grande, Lda",Ribeira Grande - Centro de Reabilitação,"Rua N. Sra. da Conceição, 91",9600-568,Fisioterapia,None,crrg_lda@hotmail.com,37.82105,-25.523348,0,0,0,0,1,0,0
110098919,Açores,CALHETA (SÃO JORGE),Dr. César Germano Gomes da Silveira Gonçalves,S. Jorge - Calheta - Dr. César Gonçalves,Rua Manuel Machado Pacheco 2,9850-041,Ambulatório,None,cesargoncalves@mail.telepac.pt,,,0,1,0,0,0,0,0
513982671,Açores,Velas,Fisiovelas - fisioterapia&saúde Unipessoal.Lda,S. Jorge - Velas Pedro Gambão,"Avenida do Livramento, 50",9800-522,Fisioterapia,None,gambao_pedro@hotmail.com,,,0,0,0,0,1,0,0
503693766,Aveiro,Aguada de Cima,"Centro Clínico de Sta. Terezinha, Lda.",Aguada de Cima - Centro Clínico de Sta. Terezinha,"Empreendimento Terras da Confraria, bloco 4 r/c",3750-041,Fisioterapia,None,administrativo@santa-terezinha.pt,,,0,0,0,0,1,0,0
504655914,Aveiro,Albergaria-a-Velha,"Alberclinica - Prestação de serviços de enfermagem, Ld",Albergaria a velha - Alberclinica,Rua Marquês do Pombal - Edif. Solmar 2 R/C DTO,3850-115,Ambulatório,None,geral@alberclinica.pt,40.698364,-8.487022,0,1,1,0,1,0,0
504228250,Aveiro,Anadia,"Peroneo Anadia - Centro Terapêutico, Lda.",Anadia - Peroneo,Largo de S. Miguel - Vilarinho de Baixo,3780-599,Ambulatório,None,geral@peroneo.pt,40.42041,-8.52227,0,1,1,1,1,0,0
501229574,Aveiro,Anadia,Hospital José Luciano de Castro da SCM de Anadia,Anadia - SCM,Rua da Misericórdia Apartado 85,3780-909,Ambulatório,None,consulta@scma-hospital.pt,40.442618,-8.444052,0,1,1,1,1,0,0
506413314,Aveiro,Argoncilhe,J.F. Medicina do Trabalho LDA,Argoncilhe - Clínica Dr. Jorge Ferreira,Rua Central da Vergada nº1189,4505-028,Ambulatório,None,clinicadr.jorgef@gmail.com,,,0,1,1,0,1,0,0
503291960,Aveiro,Arouca,"Centro Médico de Arouca, Lda.",Arouca - Centro Médico de Arouca,"Rua Alto Estrada, 3, R/CH Fracção A/B",4540-202,Ambulatório,None,centromedicodearouca@gmail.com,40.911698,-8.456903,0,1,1,1,1,0,0
501289623,Aveiro,Arouca,Santa Casa da Misericórdia de Arouca,Arouca - SCM,"Rua Dr. António Casimiro Leão Pimentel, nº4",4540-132,Ambulatório,None,gestao@scmarouca.com,40.55522,-8.14439,0,1,1,1,1,0,0
514998270,Aveiro,Aveiro,Clinica Médis Aveiro,Aveiro - Clinica Médis,Rua Artur de Almeida Eça n27 Piso 0,3800-111,Medicina dentária 234245780,None,nan,,,0,1,0,0,0,0,0
504243314,Aveiro,Aveiro,Clínica S. Gonçalinho,Aveiro - Clínica S. Gonçalinho,"Rua Dr. João de Moura, 37A e 39",3800-157,Fisioterapia,None,clinica_goncalo@hotmail.com,40.645233,-8.640291,0,0,0,0,1,0,0
507631870,Aveiro,Aveiro,AVEIRO CMM - CENTRO MEDICO DA MURTOSA,Aveiro - CMM,"Av. Artur Ravara, nº6 R/C",3810-096,Ambulatório,None,aveiro@cmm.com.pt,40.6369,-8.656066,0,1,1,0,1,0,0
501918205,Aveiro,Aveiro,"Centac - Centro Tomografia Computorizada de Aveiro, Lda",Aveiro - Unilabs,"Rua Eng. Von Haff, 25 - R/C Drt.",3800-177,Imagiologia,None,marcacoes@unilabs.pt,,,0,0,1,1,0,0,0
503645168,Aveiro,Castelo de Paiva,"Fisiopaiva - Clínica Fisiátrica, Lda",Castelo de Paiva - Fisiopaiva,"Rua José Estevão, 16 Sobrado",4550-135,Fisioterapia,None,fisiosobrado@hotmail.com,41.04233,-8.27747,0,0,0,0,1,0,0
501583157,Aveiro,Cortegaça,"Centro Médico da Praça, Lda. - Cortegaça",Cortegaça - CMDP,"Rua Jornal O Povo de Cortegaça, 43",3885-283,Ambulatório,None,enfermagem@centromedicodapraca.pt,40.944612,-8.621697,0,1,1,1,0,0,0
503787361,Aveiro,Espinho,CINESIS - CLINICA FISIATRICA DE ESPINHO,Espinho - Cinesis,Av. 8 Nr. 790,4500-207,Fisioterapia,None,cinesis.clinica@gmail.com,41.01002,-8.642862,0,0,0,0,1,0,0
502012340,Aveiro,Espinho,Clínica Costa Verde,Espinho - Clínica Costa Verde,"Rua 8, nº 949",4500-372,Ambulatório,None,geral@clinicacostaverde.com,,,0,1,0,0,1,0,0
501929339,Aveiro,Espinho,"Gabinete de Radiologia de Espinho, SA",Espinho - Unilabs,"Rua 20, 1436, r/c direito",4500-263,Imagiologia,None,marcacoes@unilabs.pt,,,0,0,0,1,0,0,0
503118540,Aveiro,Estarreja,CME - Centro Medico de Estarreja,Estarreja - Centro Medico de Estarreja,"Rua do Jornal, 18",3860-365,Ambulatório,None,geral@cme-saude.pt,40.756002,-8.567491,0,1,1,1,1,0,0
507631870,Aveiro,Estarreja,"Estarreja CMM - Centro Médico da Murtosa, MFR, Lda",Estarreja - CMM,"Rua Dr. António Madureira, 2",3860-249,Ambulatório,None,estarreja@cmm.com.pt,,,0,1,1,1,1,0,0
502835044,Aveiro,Gafanha da Nazaré,"Pereira, Ramos e Vicente - Posto de enfermagem, Lda.","Gafanha da Nazaré - Pereira, Ramos e Vicente","Rua de São João, 8",3830-737,Ambulatório,None,enf.gaf.nazare@gmail.com,,,0,1,0,0,0,0,0
503697451,Aveiro,Santa Maria da Feira,"Policlínica São Tiago Lobão, Lda.",Lobão - Policlínica São Tiago Lobão,"Rua do Comércio, 1135",4505-473,Ambulatório,None,geral@policlinica-lobao.com,40.999109,-8.484304,0,1,1,1,1,0,0
508625904,Aveiro,Lourosa,Clinica da Feira dos Dez - FéMedicinis,Lourosa - Clinica da Feira dos Dez,"Largo Feira dos Dez 75,",4535-528,Ambulatório,None,clinicafeiradosdez@gmail.com,,,0,1,0,0,0,0,0
506466418,Aveiro,Lourosa,"Louromédica - Clínica Médica, Lda",Lourosa - Louromédica,"Rua 1º de maio, 547",4535-020,Ambulatório,None,louromedica@mail.telepac.pt,40.978876,-8.549501,0,1,1,0,1,0,0
500852430,Aveiro,Mealhada,Hospital Misericórdia da Mealhada,Mealhada - Hospital da Mealhada,Rua da Misericórdia,3050-387,Ambulatório,None,seguros@hmmealhada.com,40.379888,-8.455116,0,1,1,1,1,0,1
507631870,Aveiro,Murtosa,"CMM - Centro Médico da Murtosa, MFR, Lda",Murtosa - CMM,Rua Rui Vouga 43,3870-216,Ambulatório,None,murtosa@cmm.com.pt,40.752524,-8.656483,0,1,1,1,1,0,0
502917547,Aveiro,Oliveira de Azemeis,"Centro de Enfermagem Geral LimaLufi, Lda.",Oliveira de Azemeis - Centro Enfermagem Geral LimaLufi,"Rua do Cruzeiro, 132 - R/C",3720-001,Ambulatório,None,geral@limalufi.pt,40.8531,-8.48735,0,1,1,0,0,0,0
502239379,Aveiro,Oliveira de Azemeis,"Clinica de Reabilitacao Fisica Dulcidio Bastos, Lda.",Oliveira de Azemeis - Dulcidio Bastos Clizone,"Rua Conselheiro Boaventura de Sousa, 286",3720-218,Fisioterapia,None,oazemeis@dulcidiobastos.pt,40.84027,-8.47357,0,0,0,0,1,0,0
505860910,Aveiro,Oliveira do Bairro,"Clibairro - Centro Médico, Lda.",Oliveira do Bairro - Clibairro,"Rua dos Colégios Edf. Olympus, 46 r/c",3770-211,Ambulatório,None,clibairro@gmail.com,40.51343,-8.49567,0,1,1,0,1,0,0
505690063,Aveiro,Ovar,"Centro Médico Ribas de Ovar, Lda",Ovar - Centro Médico Ribas de Ovar,Rua João de Deus 39,3880-235,Ambulatório,None,cmribas_margarida@hotmail.com,40.857861,-8.628494,0,1,1,0,1,0,0
501583157,Aveiro,Ovar,"Centro Médico da Praça, Lda. - Ovar",Ovar - CMDP,Rua São João de Ovar. nº309,3880-705,Ambulatório,None,cliovar@gmail.com,40.864637,-8.613389,0,1,1,1,1,0,0
502239379,Aveiro,Ovar,"Clinica de Reabilitacao Fisica Dulcidio Bastos, Lda.Ovr",Ovar - Dulcidio Bastos Clizone,"Rua Candido dos Reis, 56/58",3880-097,Fisioterapia,None,ovar@dulcidiobastos.pt,,,0,0,0,0,1,0,0
503742171,Aveiro,Ovar,SIM - Serviços Intermédico Lda,Ovar - SIM (Yazaki Saltano),Av. D. Manuel I - Zona industrial de Ovar,3880-109,Ambulatório,None,diana.ramos@yazaki-europe.com,,,0,1,0,0,1,0,0
508448301,Aveiro,Rio Meão,POLICLINICA SANTO ANTONIO RIO MEÃO LDA,Rio Meão - Policlínica Santo António Rio Meão,AV. 20 DE MAIO N 106,4520-473,Ambulatório,None,riomeao@psaclinicas.pt,,,0,1,1,1,1,0,0
501859683,Aveiro,S. Paio de Oleiros,"Clínica Boa-Hora, Lda",S. Paio Oleiros - Clínica Boa-Hora,"Rua do Ribeirinho, 58",4535-472,Ambulatório,None,geral@clinicaboahora.pt,,,0,1,1,0,1,0,0
514602155,Aveiro,"Sangalhos, Anadia",LS Hospital Medical Center & Research,Sangalhos - LS Hospital Medical Center,Rua do Comércio Nº268,3780-124,Ambulatório,None,frontoffice@lshospital.com,40.49123,-8.4728,0,1,1,1,1,0,0
503271489,Aveiro,Santa Maria da Feira,Fisiofeira - Centro de Recuperação Fisica e Respiratora,Santa Maria da Feira - Fisiofeira,"Travessa Jornal Correio da Feira, nº 83",4520-234,Fisioterapia,None,fisiofeira@gmail.com,40.923244,-8.518235,0,0,0,0,1,0,0
502082429,Aveiro,Santa Maria da Feira,Sta. Mª. da Feira - Dr. Campos Costa-Consultório Tomogr,Santa Maria da Feira - Unilabs,"Rua Dr. Alcides Strech Monteiro, 50-55",4520-179,Imagiologia,None,marcacoes@unilabs.pt,,,0,0,1,1,0,0,0
501583157,Aveiro,São João da Madeira,"Centro Médico da Praça, Lda.",São João da Madeira - CMDP,"Rua Vale do Vouga, 1492 - 1520",3700-298,Ambulatório,None,enfermagem@centromedicodapraca.pt,40.897016,-8.494955,0,1,1,1,1,0,0
501565523,Aveiro,São João da Madeira,"Clinica de Reabilitacao Fisica Irmaos Oliveira Bastos,",São João da Madeira - Irmãos Oliveira Bastos Clizone,"Av. Liberdade, 413",3700-166,Fisioterapia,None,rececao.saojoaomadeira@clizone.pt,,,0,0,0,0,1,0,0
502082429,Aveiro,São João da Madeira,S. João da Madeira - Dr. Campos Costa-Consultório Tomog,São João da Madeira - Unilabs,"Rua Dr. Sá Carneiro, 220",3700-254,Imagiologia,None,marcacoes@unilabs.pt,,,0,0,1,1,0,0,0
504243314,Aveiro,Vagos,Vagos - Clínica S. Gonçalinho,Vagos - Clínica S. Gonçalinho,Av. Dr. Lúcio Vidal,3840-401,Fisioterapia,None,fisiovagos@hotmail.com,40.55131,-8.67376,0,0,0,0,1,0,0
507744861,Aveiro,Vagos,"Litoralis - Saúde e Bem Estar Unipessoal, Lda",Vagos - Litoralis,"Rua Vasco da Gama, n.º 1 Rés Chão",3840-074,Fisioterapia,None,geral@clinicalitoralis.pt,,,0,0,0,0,1,0,0
507079337,Aveiro,Vale de Cambra,"Clinica Medica Privada de Vale de Cambra, Lda.",Vale de Cambra - CMDP,"Edifício Pluridomus - Rua das Regadas, nº 85",3730-250,Ambulatório,None,sinistrados@centromedicodapraca.pt,,,0,1,1,1,1,0,0
503804215,Aveiro,Vale de Cambra,"Medicambra - Serviços Médicos, Lda",Vale de Cambra - Medicambra,Av. Camilo Tavares Matos 510 - 1º,3730-240,Ambulatório,None,medicambra@gmail.com,,,0,1,0,0,0,0,0
502830344,Aveiro,Vale de Cambra,"RESVAL - GABINETE DE FISIOTERAPIA, LDA",Vale de Cambra - Resval,"RUA VASCO DA GAMA, 105 R/C FRACÇÃO A",3730-263,Fisioterapia,None,resval@netvisao.pt,,,0,0,0,0,1,0,0
501583157,Aveiro,Oliveira de Azeméis,"Centro Médico da Praça, Lda. - Oliveira Azeméis",Oliveira de Azeméis - CMDP,Rua Prof Dr. Ângelo da Fonseca,3720-287,Ambulatório,None,sinistrados@centromedicodapraca.pt,40.848828,-8.465491,0,0,0,1,0,0,0
517663538,Aveiro,Sever do Vouga,"Vital Sever, lda.",Sever do Vouga - Vital Sever,"Avenida Comendador Augusto Martins Pereira, 1094 R/C",3740-254,Fisioterapia,None,vitalsever2023@gmail.com,,,0,0,0,0,1,0,0
503252522,Beja,Beja,"Centro de Fisioterapia de Beja, Lda.",Beja - Centro de Fisioterapia de Beja,"Rua Sousa Porto, nº 35",7800-071,Fisioterapia,None,beja@oneclinics.pt,38.008022,-7.854108,0,0,0,0,1,0,0
501438980,Beja,Beja,"Centro de Radiologia de Beja, Lda.",Beja - Centro de Radiologia de Beja,"Rua Afonso de Albuquerque, 7 - R/C",7800-442,Imagiologia,None,geral@crb.pt,,,0,0,0,1,0,0,0
502171855,Beja,Beja,"Centro Medico de Beja, Lda.",Beja - Centro Medico de Beja,Lg. D. Nuno A Pereira 13 - R/C,7800-018,Ambulatório,None,centromedicobeja@gmail.com,38.012709,-7.861361,0,1,1,0,0,0,0
503311618,Beja,Moura,MRP-Centro de Medicina F.R. Moura,Moura - MRP Centro de Medicina F.R. Moura,Rua dos Açores n.º3,7860-221,Ambulatório,None,cmfrm@sapo.pt,,,0,1,0,1,1,0,0
502041161,Beja,Odemira,"Clirefis - Clínica de Reabilitação Física de Odemira,",Odemira - Clirefis,"Rua Serpa Pinto, 88",7630-174,Fisioterapia,None,clinicasfisioterapiaclirefis@gmail.com,37.597539,-8.637278,0,0,0,0,1,0,0
500874921,Braga,Amares,Santa Casa da Misericórdia Amares,Amares - SCM,"Rua Dr. Eduardo Gonçalves, 17 A",4720-345,Fisioterapia,None,cmedfilomena@scmamares.com,41.62932,-8.36476,0,0,0,0,1,0,0
500669627,Braga,Barcelos,"CDJC - Clínica Diagnóstico João Carvalho, LDA",Barcelos - CDJC,"Av. Alcaides Faria, 130",4750-106,Imagiologia,None,centrodiagnosticojoaocarvalho@gmail.com,,,0,0,1,1,0,0,0
500861196,Braga,Barcelos,Centro Medico e Enfermagem Central Barcelos Lda,Barcelos - Centro Medico e Enfermagem Central Barcelos,"Av. Alcaides de Faria, 435-E Apartado 41",4754-909,Ambulatório,None,geral@cmebarcelos.pt,41.534177,-8.613742,0,1,1,0,0,0,0
504722980,Braga,Barcelos,Fisibarcelos - Clínica Medicina Física e Reabilitação,Barcelos - Fisibarcelos,"Campo 25 de Abril, 282 r/c sala F",4750-127,Fisioterapia,None,fisibarcelos@gmail.com,41.535885,-8.615584,0,0,0,0,1,0,0
503460869,Braga,Barcelos,CLINICA PARTICULAR DE BARCELOS LDA,Barcelos - Hospital Particular de Barcelos,"Av. S. João, nº 735",4755-065,Ambulatório,None,sofiacosta@hospitaldebarcelos.com,,,0,1,1,1,1,0,0
507938186,Braga,Barcelos,"Serfisio-Serv.Fisioterapia e Reabilitacao Funcional,Lda",Barcelos - Serfisio,Av. Alcaide de Faria n.º 40,4750-160,Fisioterapia,None,serfisio@sapo.pt,,,0,0,0,0,1,0,0
503441546,Braga,Braga,CENTRO ENFERMAGEM CHÃOS LDA,Braga - Centro Enfermagem Chãos,Rua Custódio Vilas Boas 12,4700-374,Ambulatório,None,centrochaos@hotmail.com,,,0,1,1,0,1,0,0
503116661,Braga,Braga,"Centro Medico Santo Antonio, Lda.",Braga - Centro Medico Santo Antonio,"Rua do Carmo, 71",4700-309,Ambulatório,None,geral@cmsa.pt,41.553608,-8.425607,0,1,1,1,1,1,1
503669342,Braga,Braga,"Fisimassagem - Clinica Fisiatrica de Braga, Lda.",Braga - Fisimassagem,"Avenida da Liberdade, 455, 455-A e 459",4710-251,Fisioterapia,None,carla.lima@esferasaude.pt,,,0,0,0,0,1,0,0
506347320,Braga,Braga,FISIMINHO - FISIOTERAPIA E REABILITAÇAO LDA,Braga - Fisiminho,Rua S. Martinho nº 320/322,4700-087,Ambulatório,None,geral@fisiminho.pt,,,0,1,1,0,1,0,0
501483691,Braga,Braga,Braga - Lusíadas SA.,Braga - Hospital Lusíadas,Rua da Escola de Enfermagem,4700-352,Cirúrgico,None,lsfaturacaosinistros@lusiadas.pt,,,1,1,1,1,1,1,1
501956727,Braga,Braga,"Braga - JOÃO CARLOS COSTA - DIAGNÓSTICO POR IMAGEM, S.A",Braga - João Carlos Costa,Rua Robert Smith 44,4715-249,Imagiologia,None,jcc.braga@jcc.pt,,,0,0,1,1,0,0,0
507134338,Braga,Braga,"SEPRI - MS - Medicina em Sinistrados, Lda.",Braga - Sepri,"Rua Dr. Loureiro de Amorim, nº 7",4710-487,Ambulatório,None,sinistros@sepri.pt,41.558975,-8.415323,0,1,1,0,1,0,0
501624775,Braga,Braga,"CTB - Centro Tomografia Braga, LDA",Braga - Unilabs,"Rua da Restauração, 15",4710-358,Imagiologia,None,marcacoes@unilabs.pt,,,0,0,1,1,0,0,0
505859769,Braga,Cabeceiras de Basto,"Clinica Fisioterapia de Basto, Lda.",Cabeceiras de Basto - Clinica Fisioterapia de Basto,"Rua 25 de abril, nº 27 Refojos",4860-359,Fisioterapia,None,clinicafisioterapiabasto@hotmail.com,,,0,0,0,0,1,0,0
500852308,Braga,Celorico de Basto,Santa Casa da Misericórdia de S. Bento de Arnoia,Celorico de Basto - SCM,Av. João Pinto Ribeiro n.º 188,4890-221,Fisioterapia,None,fisioterapia@scma-cbt.com,,,0,0,0,0,1,0,0
505321424,Braga,Esposende,"Clinica Foz Cavado, Lda",Esposende - Clinica Foz Cavado,"Rua Dr. Fernando de Barros, Entrada 2",4740-228,Ambulatório,None,cfozcavado@gmail.com,,,0,1,1,0,1,0,0
503583863,Braga,Fafe,"CLIFAFE, Serviços Médicos Unipessoal, Lda",Fafe - CLIFAFE,"Rua Parque da Cidade,100",4820-139,Ambulatório,None,nan,,,0,1,0,0,0,0,0
501725989,Braga,Fafe,"CFF - Clínica Fisiátrica de Fafe, Lda.",Fafe - Clínica Fisiátrica de Fafe,"Rua José Cardoso Vieira de Castro, 491",4820-269,Fisioterapia,None,sandracunha@diasaude.com,,,0,0,0,0,1,0,0
504062883,Braga,Fafe,"Clinimefa - Serviços Assistência Médica, SA",Fafe - Clinimefa,"Rua José Cardoso Vieira de Castro, 491",4820-269,Ambulatório,None,susanacosta@diasaude.com,,,0,1,1,0,0,0,0
503878227,Braga,Fafe,"Fisiofafe, Medicina Fisica e de Reabilitação de Fafe, a",Fafe - Fisiofafe,"Urb Dr. Leite Lage, nº 77 A/B",4820-365,Fisioterapia,None,fisiofafe.mfr@gmail.com,41.44733,-8.180872,0,0,0,0,1,0,0
501485961,Braga,Fafe,"DiaFafe - Centro de Diagnóstico e Imagiologia, SA",Fafe - Unilabs,"Rua José Cardoso Vieira de Castro, 491",4820-269,Imagiologia,None,marcacoes@unilabs.pt,,,0,0,1,1,0,0,0
500747083,Braga,Vila Nova de Famalicão,Farpex-Enfermeiros Unidos-Centro de Enfermagem e Medico,Famalicão - Farpex,"Rua Camilo Castelo Branco, nº 129",4760-127,Ambulatório,None,farpexenfermeirosunidos@gmail.com,41.40939,-8.521078,0,1,1,1,1,0,0
501338004,Braga,Vila Nova de Famalicão,"Maria Lidia Ramalho, lda.",Famalicão - Maria Lidia Ramalho,"Rua Fernando da Silva Soares, n.º 58",4760-018,Fisioterapia,None,ffa@esferasaude.pt,,,0,0,0,0,1,0,0
502082429,Braga,Vila Nova de Famalicão,Famalicão - Dr. Campos Costa-Consultório Tomografia Com,Famalicão - Unilabs,"Rua Padre Freitas Reis, 68 r/c",4760-159,Imagiologia,None,marcacoes@unilabs.pt,,,0,0,1,1,0,0,0
